theta_deg,channel,delta_R,delta_H,delta_Qc,delta_Qd
0.255,EE,-0.00978777479409,0.0198457194932,0.0411207922704,0.000217161154566
0.26,EE,-0.00987527161734,0.0250120291942,-0.0269792499985,-0.000157729220832
0.265,EE,-0.00996242646978,0.0214938917557,0.033057914393,0.000184202167667
0.27,EE,-0.0100492353633,0.0302574948205,-0.00158048977407,-2.57456760677e-05
0.275,EE,-0.0101356943969,-0.00335378813203,-0.0182510226964,-0.000104736271767
0.28,EE,-0.0102217997548,0.034866708543,-0.0587415589831,-0.000243886826839
0.285,EE,-0.0103075477055,0.0201952807534,0.0496515166891,0.000256142839837
0.29,EE,-0.0103929345998,0.0121474734346,-0.0359547527697,-0.000198643989752
0.295,EE,-0.0104779568697,0.0115718274517,0.0212338107318,6.80935768049e-05
0.3,EE,-0.0105626110263,0.0611606131851,-0.0209103088812,-9.49027211889e-05
0.15,BB,-0.00926683071444,-0.0534890628748,-0.00115008903519,3.68139642791e-06
0.155,BB,-0.00902848069727,-0.0407182061005,0.00498231281636,4.40549239145e-05
0.16,BB,-0.00878981729334,-0.0457047084112,0.0185679459079,9.66103368804e-05
0.165,BB,-0.00855088084972,-0.0610814800107,-0.0425493578492,-0.000205225312457
0.17,BB,-0.00831171358082,-0.0417286415445,0.0549233220409,0.000270946751387
0.175,BB,-0.00807235974483,-0.0455677385046,-0.0543292279426,-0.000245139193919
0.18,BB,-0.00783286585163,-0.0476687359404,-0.0478514225974,-0.000242626754543
0.185,BB,-0.0075932809086,-0.0503714210972,0.0216607725437,0.000131613551176
0.19,BB,-0.0073536567128,-0.058818812566,-0.00712392654156,-6.33345546602e-05
0.195,BB,-0.00711404820088,-0.074430882163,0.0224689723846,0.000102242415826
0.2,BB,-0.00687451387385,-0.0509914048796,-0.0733742693784,-0.000382423417195
0.205,BB,-0.00663511632357,-0.0731838183052,0.016235388159,9.94227825236e-05
0.21,BB,-0.00639592290806,-0.03534966896,-0.023801638981,-0.000123175880562
0.215,BB,-0.00615700666119,-0.0397370999251,-0.000239455381374,-2.60881697022e-06
0.22,BB,-0.00591844760421,-0.0577176205915,0.0514184660001,0.000229365965345
0.225,BB,-0.00568033480183,-0.0330178970476,-0.0467853123823,-0.000280077812371
0.23,BB,-0.00544276990845,-0.0184817520063,-0.0279692003687,-0.000184730347796
0.235,BB,-0.00520587393813,-0.00352306802472,0.059580930258,0.000294314123034
0.24,BB,-0.00496980164969,-0.0311160021265,-0.0366125620358,-0.000219234241584
0.245,BB,-0.00473477597643,-0.00323580210657,-0.00954138035996,-8.05174656742e-05
0.25,BB,-0.00450118314757,-0.0235476095685,0.0112248493984,3.37021047159e-05
